"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ToyKingdomPH: #JaDine fans ages 7 to 14 can #VoteJamesFPP #KCA here at select Toy Kingdom stores! Last voting day Mar 4 :) https://t.co…",FALSE,0,NA,2016-03-01 16:40:29,FALSE,NA,"704707892817981440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamjuLLy27",259,TRUE,FALSE,NA,NA
"2","RT @ToyKingdomPH: #JaDine fans ages 7 to 14 can #VoteJamesFPP #KCA here at select Toy Kingdom stores! Last voting day Mar 4 :) https://t.co…",FALSE,0,NA,2016-03-01 16:37:58,FALSE,NA,"704707262611206144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","estradaangelyn1",259,TRUE,FALSE,NA,NA
"3","Cant get enough of #JaDine fever.
Been so long since the last time i felt like this.
#jadinefromrealtoreal 
#JaDine https://t.co/eJR0pY390e",FALSE,0,NA,2016-03-01 16:35:26,FALSE,NA,"704706623030169600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","glaiginocruz",0,FALSE,FALSE,NA,NA
"4","RT @AlDub_Nation7k: Sino ang best love team para sa'yo? #Aldub #Jadine #Kathniel #Gabru",FALSE,0,NA,2016-03-01 16:31:40,FALSE,NA,"704705673787879424",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","xaviervillegirl",32,TRUE,FALSE,NA,NA
"5","RT @raymundisaac: pictorial with #JADINE now",FALSE,0,NA,2016-03-01 16:31:17,FALSE,NA,"704705579642556416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NadnissEverdeen",10,TRUE,FALSE,NA,NA
"6","RT @ToyKingdomPH: #JaDine fans ages 7 to 14 can #VoteJamesFPP #KCA here at select Toy Kingdom stores! Last voting day Mar 4 :) https://t.co…",FALSE,0,NA,2016-03-01 16:29:54,FALSE,NA,"704705231850844160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OTWOLAddict",259,TRUE,FALSE,NA,NA
"7","RT @dinzcastro: The @paulcabral touch on Nadine's enchanting physique... Purely Magical!<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Missing OTWOL... #JaDine https://t.co/w79OkPLqwx",FALSE,0,NA,2016-03-01 16:28:11,FALSE,NA,"704704800722546689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","precilla_joy",441,TRUE,FALSE,NA,NA
"8","RT @ToyKingdomPH: #JaDine fans ages 7 to 14 can #VoteJamesFPP #KCA here at select Toy Kingdom stores! Last voting day Mar 4 :) https://t.co…",FALSE,0,NA,2016-03-01 16:25:33,FALSE,NA,"704704136697085952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lustreidaireene",259,TRUE,FALSE,NA,NA
"9","Wow<ed><U+00A0><U+00BD><ed><U+00B8><U+00B3> nakakagulat Ang tl ko halos lahat puro n #jadine. #kaytagalkongnwala",FALSE,0,NA,2016-03-01 16:24:17,FALSE,NA,"704703817150025728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamsimpleTine",0,FALSE,FALSE,NA,NA
"10","RT @dinzcastro: The @paulcabral touch on Nadine's enchanting physique... Purely Magical!<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Missing OTWOL... #JaDine https://t.co/w79OkPLqwx",FALSE,0,NA,2016-03-01 16:23:50,FALSE,NA,"704703705640095744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laidylei",441,TRUE,FALSE,NA,NA
"11","RT @ToyKingdomPH: #JaDine fans ages 7 to 14 can #VoteJamesFPP #KCA here at select Toy Kingdom stores! Last voting day Mar 4 :) https://t.co…",FALSE,0,NA,2016-03-01 16:22:58,FALSE,NA,"704703485967609856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JadineIntl_LheT",259,TRUE,FALSE,NA,NA
"12","RT @ofcWeLoveJADINE: Nadine's BTS shoot for Coca-Cola! <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> ©tto 

#NadineLustre #JaDine [WLJD Staff-S] https://t.co/wx17hvMTqU",FALSE,0,NA,2016-03-01 16:22:06,FALSE,NA,"704703266647506944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lynnjuntilla",25,TRUE,FALSE,NA,NA
"13","RT @ToyKingdomPH: #JaDine fans ages 7 to 14 can #VoteJamesFPP #KCA here at select Toy Kingdom stores! Last voting day Mar 4 :) https://t.co…",FALSE,0,NA,2016-03-01 16:20:45,FALSE,NA,"704702927726706688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jocelynlobos26",259,TRUE,FALSE,NA,NA
"14","RT @ToyKingdomPH: #JaDine fans ages 7 to 14 can #VoteJamesFPP #KCA here at select Toy Kingdom stores! Last voting day Mar 4 :) https://t.co…",FALSE,0,NA,2016-03-01 16:19:19,FALSE,NA,"704702567012388864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rufallowmae",259,TRUE,FALSE,NA,NA
"15","RT @raymundisaac: pictorial with #JADINE now",FALSE,0,NA,2016-03-01 16:16:21,FALSE,NA,"704701821827227648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlwaysJadine11",10,TRUE,FALSE,NA,NA
"16","RT @ToyKingdomPH: #JaDine fans ages 7 to 14 can #VoteJamesFPP #KCA here at select Toy Kingdom stores! Last voting day Mar 4 :) https://t.co…",FALSE,0,NA,2016-03-01 16:14:42,FALSE,NA,"704701404670078977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","foreverhanash",259,TRUE,FALSE,NA,NA
"17","#otwol #jadine #sepanx https://t.co/E6VQbIwa7R",FALSE,0,NA,2016-03-01 16:13:37,FALSE,NA,"704701133248286720",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","dyentaz",0,FALSE,FALSE,NA,NA
"18","RT @ToyKingdomPH: #JaDine fans ages 7 to 14 can #VoteJamesFPP #KCA here at select Toy Kingdom stores! Last voting day Mar 4 :) https://t.co…",FALSE,0,NA,2016-03-01 16:12:26,FALSE,NA,"704700835935027200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jadine_ignite",259,TRUE,FALSE,NA,NA
"19","RT @dinzcastro: The @paulcabral touch on Nadine's enchanting physique... Purely Magical!<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Missing OTWOL... #JaDine https://t.co/w79OkPLqwx",FALSE,0,NA,2016-03-01 16:10:44,FALSE,NA,"704700405695909889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abishruth",441,TRUE,FALSE,NA,NA
