"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @cocoy: Binay, corrupt. Grace Poe, Duterte, Miram = Marcos Supporters. 

If you don't like Corrupt + Marcos, who is left then? #PiliPina…",FALSE,0,NA,2016-03-01 14:26:36,FALSE,NA,"704674199973941249",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","barcy41479",2,TRUE,FALSE,NA,NA
"2","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-01 14:26:08,FALSE,NA,"704674082122432513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","milesaway85",3017,TRUE,FALSE,NA,NA
"3","RT @cocoy: Binay, corrupt. Grace Poe, Duterte, Miram = Marcos Supporters. 

If you don't like Corrupt + Marcos, who is left then? #PiliPina…",FALSE,0,NA,2016-03-01 14:25:48,FALSE,NA,"704673999209385988",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akosimumble",2,TRUE,FALSE,NA,NA
"4","Binay, corrupt. Grace Poe, Duterte, Miram = Marcos Supporters. 

If you don't like Corrupt + Marcos, who is left then? #PiliPinasDebates2016",FALSE,2,NA,2016-03-01 14:23:59,FALSE,NA,"704673542206418944",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","cocoy",2,FALSE,FALSE,NA,NA
"5","RT @bernardokath: Goodluck kuya mar! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #PiliPinasDebates2016 #MarWithAPlan https://t.co/IhwF9xMHU2",FALSE,0,NA,2016-03-01 14:19:51,FALSE,NA,"704672504124727296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lyndianor21",3388,TRUE,FALSE,NA,NA
"6","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-01 14:16:14,FALSE,NA,"704671592362577920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IkayPusod",3017,TRUE,FALSE,NA,NA
"7","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-01 14:13:54,FALSE,NA,"704671004375658496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MhieLapiceros",3017,TRUE,FALSE,NA,NA
"8","RT @bernardokath: Goodluck kuya mar! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #PiliPinasDebates2016 #MarWithAPlan https://t.co/IhwF9xMHU2",FALSE,0,NA,2016-03-01 14:13:43,FALSE,NA,"704670960570380295",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","noerky15143",3388,TRUE,FALSE,NA,NA
"9","RT @Yassizzle: Hmmm.. Still taping for @MTV_pinoy <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5> Wish i could see #PiliPinasDebates2016",FALSE,0,NA,2016-03-01 14:10:03,FALSE,NA,"704670035604672512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JustYASSIFIEDS",81,TRUE,FALSE,NA,NA
"10","RT @natdabuet: prof: ""Jejomar, what is the powerhouse of the cell?""
Jejomar Binay: ""m....m...mi-....makati""
#PiliPinasDebates2016",FALSE,0,NA,2016-03-01 14:06:04,FALSE,NA,"704669033824530432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elliealvrz",330,TRUE,FALSE,NA,NA
