"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#dessert @dawin thanks for gracing our fave noontime show @EatBulaga tulala kayong dalawa o @mainedcm #aldub fanatic https://t.co/S3wTOeedZd",FALSE,0,NA,2016-03-01 16:36:21,FALSE,NA,"704706855398866944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AvaMaycap",0,FALSE,FALSE,NA,NA
"2","RT @AlDub_Nation7k: Sino ang best love team para sa'yo? #Aldub #Jadine #Kathniel #Gabru",FALSE,0,NA,2016-03-01 16:31:40,FALSE,NA,"704705673787879424",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","xaviervillegirl",32,TRUE,FALSE,NA,NA
"3","RT @mca_music: Dawin meets Alden! #Dawin #DAWINxEB #EatBulaga #ALDUB #AldenRichards https://t.co/YTtm7I4Y9e",FALSE,0,NA,2016-03-01 16:30:00,FALSE,NA,"704705255292821505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JxAnnBlckjck",1441,TRUE,FALSE,NA,NA
"4","I heart #AlDub! &lt;3",FALSE,0,NA,2016-03-01 16:27:21,FALSE,NA,"704704590227316737",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","flourencelove",0,FALSE,FALSE,NA,NA
"5","Alden Nation ™ on Instagram: “MonBAE 2.0 (02/29) #AldenRichards #ALDUBnation #ALDUB #Repost... https://t.co/yE8UIg3mxi",FALSE,0,NA,2016-03-01 16:20:27,FALSE,NA,"704702853567389698",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","richfaulk50",0,FALSE,FALSE,NA,NA
"6","MonBAE 2.0 (02/29) #AldenRichards #ALDUBnation #ALDUB 
#Repost @gianni_bandiola https://t.co/cGKOz8vGSD",FALSE,0,NA,2016-03-01 16:19:47,FALSE,NA,"704702687040905217",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","AldenNation",0,FALSE,FALSE,NA,NA
"7","Huli ka, dimples! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> @aldenrichards02 #tastethefeeling #cocacola #aldenrichards #aldub… https://t.co/n7QpXVqV5L",FALSE,0,NA,2016-03-01 16:12:46,FALSE,NA,"704700917417836545",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bellelustria",0,FALSE,FALSE,"121.01971608","14.57698917"
"8","RT @aldenrichncds02: aldubupdates:  The BDay girl <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Credits: WM
#Aldub https://t.co/3pSUtak7DF",FALSE,0,NA,2016-03-01 16:08:31,FALSE,NA,"704699849078231040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gina_prather",2,TRUE,FALSE,NA,NA
"9","RT @aldenrichncds02: aldubupdates:  The BDay girl <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Credits: WM
#Aldub https://t.co/3pSUtak7DF",FALSE,0,NA,2016-03-01 16:07:47,FALSE,NA,"704699663669022720",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","deatelab",2,TRUE,FALSE,NA,NA
"10","Hi @aldenrichards02! Why so gwapo? <ed><U+00A0><U+00BD><ed><U+00B8><U+008E> #fangirling #sorrynahaha #tastethefeeling #cocacola #aldub… https://t.co/yeOh2TqMOT",FALSE,0,NA,2016-03-01 16:07:13,FALSE,NA,"704699521549279232",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bellelustria",0,FALSE,FALSE,"121.01971608","14.57698917"
"11","RT @AlDub_Nation7k: Sino ang best love team para sa'yo? #Aldub #Jadine #Kathniel #Gabru",FALSE,0,NA,2016-03-01 15:59:09,FALSE,NA,"704697492806316032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fanGofalltime",32,TRUE,FALSE,NA,NA
"12","RT @mca_music: We will be giving away 4 signed My Bebe Love DVDs by Alden find out how soon! #Aldub #SaTamangPanahon #MyBebeLoveDVD https:/…",FALSE,0,NA,2016-03-01 15:56:57,FALSE,NA,"704696936822013953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NicoRich_",415,TRUE,FALSE,NA,NA
"13","RT @AlDub_Nation7k: Sino ang best love team para sa'yo? #Aldub #Jadine #Kathniel #Gabru",FALSE,0,NA,2016-03-01 15:55:45,FALSE,NA,"704696634798534656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","justgotKD",32,TRUE,FALSE,NA,NA
"14","RT @aldenrichncds02: aldubupdates:  Snapchat update: <ed><U+00A0><U+00BC><ed><U+00BD><U+00B7>

#Aldub https://t.co/QScfowymnL",FALSE,0,NA,2016-03-01 15:55:27,FALSE,NA,"704696563390525441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gina_prather",1,TRUE,FALSE,NA,NA
"15","aldubupdates:  The BDay girl <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Credits: WM
#Aldub https://t.co/3pSUtak7DF",FALSE,3,NA,2016-03-01 15:53:42,FALSE,NA,"704696119322927104",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","aldenrichncds02",2,FALSE,FALSE,NA,NA
"16","aldubupdates:  Snapchat update: <ed><U+00A0><U+00BC><ed><U+00BD><U+00B7>

#Aldub https://t.co/QScfowymnL",FALSE,2,NA,2016-03-01 15:53:39,FALSE,NA,"704696107591409664",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","aldenrichncds02",1,FALSE,FALSE,NA,NA
"17","@j0hanz23 @JayeHanash @mainedcm @aldenrichards02 mabuhay ang #aldub at #jadine",FALSE,0,"j0hanz23",2016-03-01 15:53:32,FALSE,"704692401219080192","704696078453460992","101218998","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vi_ann91",0,FALSE,FALSE,NA,NA
"18","aldubupdates:  Maine's 21st birthday celebration <ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089> Credits: niceprintphoto FB 
#Aldub https://t.co/CmW3Fc7vKy",FALSE,3,NA,2016-03-01 15:53:24,FALSE,NA,"704696046765654018",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","aldenrichncds02",0,FALSE,FALSE,NA,NA
"19","aldubupdates:  Snapchat update:

Quick Change <ed><U+00A0><U+00BD><ed><U+00B1><U+0097><ed><U+00A0><U+00BD><ed><U+00B1><U+00A0> #Aldub https://t.co/HNbrFEHiOm",FALSE,3,NA,2016-03-01 15:53:21,FALSE,NA,"704696032953819137",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","aldenrichncds02",0,FALSE,FALSE,NA,NA
"20","RT @AlDub_Nation7k: Sino ang best love team para sa'yo? #Aldub #Jadine #Kathniel #Gabru",FALSE,0,NA,2016-03-01 15:50:29,FALSE,NA,"704695310241562624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KathNielArmy17",32,TRUE,FALSE,NA,NA
"21","RT @AlDub_Nation7k: Sino ang best love team para sa'yo? #Aldub #Jadine #Kathniel #Gabru",FALSE,0,NA,2016-03-01 15:48:50,FALSE,NA,"704694896150458370",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dindinpadilya",32,TRUE,FALSE,NA,NA
"22","RT @AlDub_Nation7k: Sino ang best love team para sa'yo? #Aldub #Jadine #Kathniel #Gabru",FALSE,0,NA,2016-03-01 15:47:19,FALSE,NA,"704694515651776512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NemiaZamora",32,TRUE,FALSE,NA,NA
"23","RT @AlDub_Nation7k: Sino ang best love team para sa'yo? #Aldub #Jadine #Kathniel #Gabru",FALSE,0,NA,2016-03-01 15:43:25,FALSE,NA,"704693533228150785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoycelynMendoz3",32,TRUE,FALSE,NA,NA
"24","RT @j0hanz23: Absolutely LEGIT! @JayeHanash follows @mainedcm and @aldenrichards02. <U+263A> #StopNetworkWars #ALDUB #JADINE #LoveLove <U+263A> https://t…",FALSE,0,NA,2016-03-01 15:42:58,FALSE,NA,"704693420233592832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RSLYNRVR11",1,TRUE,FALSE,NA,NA
"25","RT @AlDub_Nation7k: Sino ang best love team para sa'yo? #Aldub #Jadine #Kathniel #Gabru",FALSE,0,NA,2016-03-01 15:42:49,FALSE,NA,"704693383915114496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","artadie12",32,TRUE,FALSE,NA,NA
"26","RT @AlDub_Nation7k: Sino ang best love team para sa'yo? #Aldub #Jadine #Kathniel #Gabru",FALSE,0,NA,2016-03-01 15:42:36,FALSE,NA,"704693327568834560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","omgchandria",32,TRUE,FALSE,NA,NA
