"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @RDTMutiroes: As jóias que a Gaga usou no #Oscars valem 8 milhões de dólares! 

#TilItHappensToYou #iHeartAwards #BestMovieSong https://…",FALSE,0,NA,2016-03-01 03:51:09,FALSE,NA,"704514284190101505",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ander2323a",36,TRUE,FALSE,NA,NA
"2","RT @EW: Congrats to #InsideOut on winning Best Animated Feature! #Oscars https://t.co/6ZsePqvcrd",FALSE,0,NA,2016-03-01 03:51:09,FALSE,NA,"704514283405578242",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dewaninggra",552,TRUE,FALSE,NA,NA
"3","RT @Koldun87: <U+041D><U+043E><U+0432><U+044B><U+0439> <U+043C><U+043E><U+0442><U+0438><U+0432><U+0430><U+0446><U+0438><U+043E><U+043D><U+043D><U+044B><U+0439> <U+0441><U+043B><U+043E><U+0433><U+0430><U+043D> <U+044D><U+0442><U+043E><U+0433><U+043E> <U+0433><U+043E><U+0434><U+0430>: <U+041B><U+0435><U+043E> <U+0441><U+043C><U+043E><U+0433> <U+0438> <U+0442><U+044B> <U+0441><U+043C><U+043E><U+0436><U+0435><U+0448><U+044C>.

#Oscars https://t.co/Yd81F2YhNA",FALSE,0,NA,2016-03-01 03:51:08,FALSE,NA,"704514282738814980",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mihailova07",5,TRUE,FALSE,NA,NA
"4","RT @MTVteenwolf: Look who we found at the #Oscars <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> @DSprayberry https://t.co/T2OkZZvW7z https://t.co/rynam0lmdn",FALSE,0,NA,2016-03-01 03:51:08,FALSE,NA,"704514282176774145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shawnvocals",5895,TRUE,FALSE,NA,NA
"5","RT @danisnotonfire: shoutout to the real winners of the #Oscars this evening - visibility for lgbt, climate change, sexual abuse victims an…",FALSE,0,NA,2016-03-01 03:51:08,FALSE,NA,"704514282151661568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bishreksualphan",37828,TRUE,FALSE,NA,NA
"6","RT @BBCNews: #Oscars: ""I stand here tonight as a proud gay man,"" said Sam Smith after winning best original song with Jimmy Napes https://t…",FALSE,0,NA,2016-03-01 03:51:08,FALSE,NA,"704514281677651970",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmmanuelMutis34",150,TRUE,FALSE,NA,NA
"7","RT @king_ranjhna: <U+090F><U+0915> #Oscars <U+0924><U+094B> <U+0907><U+0928><U+094D><U+0939><U+0947><U+0902> <U+092D><U+0940> <U+092E><U+093F><U+0932><U+0928><U+093E> <U+091A><U+093E><U+0939><U+093F><U+090F> <U+091C><U+093F><U+0928><U+094D><U+0939><U+094B><U+0902><U+0928><U+0947> <U+090F><U+0915> <U+092A><U+093E><U+0928> <U+0939><U+093E><U+0925> <U+092E><U+0947> <U+0932><U+0947><U+0915><U+0947> <U+0926><U+094B> <U+092A><U+093E><U+0928> <U+0916><U+093E><U+0928><U+0947> <U+0915><U+093E> <U+0915><U+093F><U+0930><U+0926><U+093E><U+0930> <U+0928><U+093F><U+092D><U+093E><U+092F><U+093E> <U+0925><U+093E><U+0964> https://t.co/fq5fo4h8f0",FALSE,0,NA,2016-03-01 03:51:08,FALSE,NA,"704514281669144576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","humlogindia",291,TRUE,FALSE,NA,NA
"8","Quem ganhou o Oscar de melhor Grammy na categoria Globo de Ouro? #Oscars",FALSE,0,NA,2016-03-01 03:51:08,FALSE,NA,"704514279802871808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","knonm",0,FALSE,FALSE,NA,NA
"9","#wallpapers #LeonardoDiCaprio 
#Oscars 2016 https://t.co/Z3jdcZwd05",FALSE,1,NA,2016-03-01 03:51:08,FALSE,NA,"704514279005929472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iyAsRM",0,FALSE,FALSE,NA,NA
"10","RT @grist: .@LeoDiCaprio makes impassioned plea for action on #climatechange, justice for indigenous people in #Oscars speech.
https://t.co…",FALSE,0,NA,2016-03-01 03:51:08,FALSE,NA,"704514278980718592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","innov8energy",993,TRUE,FALSE,NA,NA
"11","RT @TODAYshow: Kisses from Gaga #Oscars https://t.co/fzsgXxIHep",FALSE,0,NA,2016-03-01 03:51:07,FALSE,NA,"704514278624239616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ughnus",418,TRUE,FALSE,NA,NA
"12","RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars",FALSE,0,NA,2016-03-01 03:51:07,FALSE,NA,"704514278435508225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Magalala_",354093,TRUE,FALSE,NA,NA
"13","Trailer for  Webseries this trailer got me Hype #WebSeries #Oscars  #Hood #film #movie #trailer #hoodstoriesofNY https://t.co/UNPjua2Z7Z",FALSE,0,NA,2016-03-01 03:51:07,FALSE,NA,"704514277793779712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","truelifevids",0,FALSE,FALSE,NA,NA
"14","RT @Mila_Nandez: ""Dedico el oscar a mi abuelo, que fue exiliado, para que esto nunca más vuelva a suceder"" #BearStory #Oscars https://t.co/…",FALSE,0,NA,2016-03-01 03:51:07,FALSE,NA,"704514275671412736",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","avillavecesn",290,TRUE,FALSE,NA,NA
"15","RT @gagadaily: Beautiful! #Oscars https://t.co/qxFlb4T6Ci",FALSE,0,NA,2016-03-01 03:51:06,FALSE,NA,"704514273897152513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OhMyFuckinGodga",377,TRUE,FALSE,NA,NA
