"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @frmheadtotoe: How unnecessary to make fun of Asians on the #Oscars when Hollywood isn't even evolved enough to give Asians Asian-specif…",FALSE,0,NA,2016-03-01 02:59:47,FALSE,NA,"704501359199035393",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","leahericachung",547,TRUE,FALSE,NA,NA
"2","RT @ibnlive: ""Let us not take this planet for granted, I do not take this night for granted, says @LeoDiCaprio #Oscars
https://t.co/mwtgHgF…",FALSE,0,NA,2016-03-01 02:59:47,FALSE,NA,"704501358624243712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Monfaai",76,TRUE,FALSE,NA,NA
"3","RT @khajochi: <U+0E44><U+0E14><U+0E49><U+0E41><U+0E25><U+0E49><U+0E27> !! Leonardo Dicaprio <U+0E04><U+0E27><U+0E49><U+0E32><U+0E23><U+0E32><U+0E07><U+0E27><U+0E31><U+0E25> #Oscars <U+0E14><U+0E32><U+0E23><U+0E32><U+0E19><U+0E33><U+0E0A><U+0E32><U+0E22> <U+0E08><U+0E32><U+0E01> #TheRevenant !!! <U+0E22><U+0E34><U+0E19><U+0E14><U+0E35><U+0E14><U+0E49><U+0E27><U+0E22><U+0E22><U+0E22><U+0E22> https://t.co/6UxvurXfsk",FALSE,0,NA,2016-03-01 02:59:47,FALSE,NA,"704501357785448448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","punnsann",1643,TRUE,FALSE,NA,NA
"4","RT @FichajeGoleador: Neymar, debe ser ganador de un #Oscars, este si que es un ¨ACTORAZO¨ Aplaudamos... <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/4PL0GUbdD8",FALSE,0,NA,2016-03-01 02:59:47,FALSE,NA,"704501357626191873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YagueThorne29",633,TRUE,FALSE,NA,NA
"5","RT @DanJPerrault: Amazing day at the Oscars with @KristianHarloff! Also, Henry Cavill gives great hugs.
@Fandango @MOVIECLIPS #Oscars https…",FALSE,0,NA,2016-03-01 02:59:47,FALSE,NA,"704501357278064640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Steve_Perrault",1,TRUE,FALSE,NA,NA
"6","RT @IniciativaV: Exacto. #Oscars #CaptainAmericaCivilWar https://t.co/G3TzNRES0Q",FALSE,0,NA,2016-03-01 02:59:47,FALSE,NA,"704501356569063424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Karen_Quiroz13",85,TRUE,FALSE,NA,NA
"7","RT @Aidaespanol: Leo Dicaprio, el actor de Hollywood comprometido con el cambio climático. Su discurso ante la ONU https://t.co/yGRUaJY7Xo …",FALSE,0,NA,2016-03-01 02:59:46,FALSE,NA,"704501352945340416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cisternasop",14,TRUE,FALSE,NA,NA
"8","RT @Writeintrump: I'm happy #LeonardoDiCaprio won his first Oscar tonight. I loved him in Titanic which was also the nickname for Jeb Bush'…",FALSE,0,NA,2016-03-01 02:59:46,FALSE,NA,"704501352928518144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katemauro",154,TRUE,FALSE,NA,NA
"9","RT @foofightersAR: #Oscars
Nos dejaste a todos llorando pedazo de forro. https://t.co/cHyWD2bUp8",FALSE,0,NA,2016-03-01 02:59:46,FALSE,NA,"704501352714653696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","John_Morrisss",73,TRUE,FALSE,NA,NA
"10","RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars",FALSE,0,NA,2016-03-01 02:59:46,FALSE,NA,"704501352383156224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","julia_kleppe",352947,TRUE,FALSE,NA,NA
